composer	composer_first	work_group	work catalogue	opus	no	mov	title	composition	publication	pages	prio	done	by	time	est_time	CHF	comment	source	filename	parsed	no_notes	Unnamed: 22	entropy	comp_ID	fifth_width	display_year
Alkan	Charles Valentin	Préludes	Op.	31	1			1846.0				1.0	ClassicMan					MS	205946-Prelude_Opus_31_No._1_in_C_Major.mxl	1.0	387.0		0.0	1.0	10.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	2			1846.0				1.0	ClassicMan					MS	219641-Prelude_Opus_31_No._2_in_F_Minor.mxl	1.0	1075.0		0.09875506848812628	1.0	15.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	3			1846.0				1.0	ClassicMan					MS	235316-Prelude_Opus_31_No._3_in_D_Major.mxl	1.0	616.0		0.10365424793674273	1.0	13.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	4			1846.0				1.0	ClassicMan					MS	250831-Prelude_Opus_31_No._4_in_F_Minor.mxl	1.0	282.0		0.03372900666170139	1.0	12.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	5			1846.0				1.0	ClassicMan					MS	266426-Prelude_Opus_31_No._5_in_D_Major.mxl	1.0	1330.0		0.0	1.0	10.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	6			1846.0				1.0	ClassicMan					MS	284811-Prelude_Opus_31_No._6_in_G_Minor.mxl	1.0	521.0		0.0	1.0	10.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	7			1846.0				1.0	ClassicMan					MS	305361-Prelude_Opus_31_No._7_in_E_Major.mxl	1.0	1670.0		0.17270397806347842	1.0	13.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	8			1846.0				1.0	ClassicMan					MS	328501-Prelude_Opus_31_No._8_in_A_Minor.mxl	1.0	923.0		0.0	1.0	10.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	9			1846.0				1.0	ClassicMan					MS	353641-Prelude_Opus_31_No._9_in_E_Major.mxl	1.0	421.0		0.0	1.0	11.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	10			1846.0				1.0	ClassicMan					MS	378901-Prelude_Opus_31_No._10_in_A_Minor.mxl	1.0	1095.0		0.0	1.0	10.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	11			1846.0				1.0	ClassicMan					MS	407306-Prelude_Opus_31_No._11_in_F_Major.mxl	1.0	417.0		0.1586269975073951	1.0	14.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	12			1846.0				1.0	ClassicMan					MS	434646-Prelude_Opus_31_No._12_in_B_Minor.mxl	1.0	413.0		0.0	1.0	10.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	13			1846.0				1.0	ClassicMan					MS	465786-Prelude_Opus_31_No._13_in_G_Major.mxl	1.0	1201.0		0.2822083256563757	1.0	15.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	14			1846.0				1.0	ClassicMan					MS	497661-Prelude_Opus_31_No._14_in_B_Minor.mxl	1.0	2402.0		0.1335267282158449	1.0	17.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	15			1846.0				1.0	ClassicMan					MS	524101-Prelude_Opus_31_No._15_in_G_Major.mxl	1.0	1036.0		0.03656174456384298	1.0	13.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	16			1846.0				1.0	ClassicMan					MS	549311-Prelude_Opus_31_No._16_in_C_Minor.mxl	1.0	765.0		0.0	1.0	11.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	17			1846.0				1.0	ClassicMan					MS	581701-Prelude_Opus_31_No._17_in_A_Major.mxl	1.0	1629.0		0.42662353841561856	1.0	21.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	18			1846.0				1.0	ClassicMan					MS	618911-Prelude_Opus_31_No._18_in_C_Minor.mxl	1.0	1402.0		0.12960980890790808	1.0	17.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	19			1846.0				1.0	ClassicMan					MS	651256-Prelude_Opus_31_No._19_in_A_Major.mxl	1.0	422.0		0.0	1.0	10.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	20			1846.0				1.0	ClassicMan					MS	683261-Prelude_Opus_31_No._20_in_D_Minor.mxl	1.0	1380.0		0.02195076540261329	1.0	14.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	21			1846.0				1.0	ClassicMan					MS	717131-Prelude_Opus_31_No._21_in_B_Major.mxl	1.0	346.0		0.0	1.0	6.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	22			1846.0				1.0	ClassicMan					MS	753291-Prelude_Opus_31_No._22_in_E_Minor.mxl	1.0	680.0		0.17295758457296848	1.0	17.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	23			1846.0				1.0	ClassicMan					MS	787931-Prelude_Opus_31_No._23_in_B_Major.mxl	1.0	463.0		0.15985798617120747	1.0	13.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	24			1846.0				1.0	ClassicMan					MS	842546-Prelude_Opus_31_No._24_in_E_Minor.mxl	1.0	2150.0		0.2545711202398195	1.0	22.0	1846.0
Alkan	Charles Valentin	Préludes	Op.	31	25			1846.0				1.0	ClassicMan					MS	879466-Prelude_Opus_31_No._25_in_C_Major.mxl	1.0	541.0		0.0	1.0	10.0	1846.0
Alkan	Charles Valentin	Impromptus	Op.	32	1	1.0	Vaghezza	1847.0	1848.0	3.0		1.0	ClassicMan					MS	Impromptu_Opus_32_No._1_No._1_in_B_Major_Vaghezza.mxl	1.0	1231.0		0.21989329184523565	1.0	15.0	1847.0
Alkan	Charles Valentin	Impromptus	Op.	32	1	2.0	L'Amitié	1845.0	1848.0	3.0		1.0	ClassicMan					MS	Impromptu_Opus_32_No._1_No._2_in_B_Major_LAmitie.mxl	1.0	1194.0		0.1812590679523664	1.0	14.0	1845.0
Alkan	Charles Valentin	Impromptus	Op.	32	1	3.0	Fantasietta alla Moresca	1847.0	1848.0	6.0		1.0	ClassicMan					MS	Impromptu_Opus_32_No._1_No._3_in_G_Major_Fantasietta_alla_Moresca.mxl	1.0	1485.0		0.0	1.0	11.0	1847.0
Alkan	Charles Valentin	Impromptus	Op.	32	1	4.0	La Foi	1848.0	1848.0	4.0		1.0	ClassicMan					MS	Impromptu_Opus_32_No._1_No._4_in_B_Major_La_Foi.mxl	1.0	1882.0		0.022230415650252168	1.0	13.0	1848.0
Alkan	Charles Valentin	Deuxième Recueil d'Impromptus	Op.	32	2	1.0			1849.0			1.0	ClassicMan					MS	Air_a_Cinq_Temps_Opus_32_No._2_No._1_in_A_Minor.mxl	1.0	1102.0		0.16615652468188405	1.0	17.0	1849.0
Alkan	Charles Valentin	Deuxième Recueil d'Impromptus	Op.	32	2	2.0			1849.0			1.0	ClassicMan					MS	Air__Cinq_Temps_Opus_32_No._2_No._2_in_D_Minor.mscz.mxl	1.0	454.0		0.0	1.0	10.0	1849.0
Alkan	Charles Valentin	Deuxième Recueil d'Impromptus	Op.	32	2	3.0			1849.0			1.0	ClassicMan					MS	Air__Cinq_Temps_Opus_32_No._2_No._3_in_F_Major.mscz.mxl	1.0	828.0		0.0	1.0	10.0	1849.0
Alkan	Charles Valentin	Grande Sonate “Les Quatre Âges”	Op.	33		1.0			1847.0	15.0		1.0	ClassicMan					MS	Grande_Sonate_Les_Quatre_Ages_Opus_33_1st_Movement.mxl	1.0	4870.0		0.2565578888003724	1.0	20.0	1847.0
Alkan	Charles Valentin	Grande Sonate “Les Quatre Âges”	Op.	33		2.0			1847.0	23.0		1.0	ClassicMan					MS	Grande_Sonate_Les_Quatre_Ages_Opus_33_2nd_Movement.mxl	1.0	13148.0		0.7405123250963274	1.0	27.0	1847.0
Alkan	Charles Valentin	Grande Sonate “Les Quatre Âges”	Op.	33		3.0			1847.0	11.0		1.0	ClassicMan					MS	Grande_Sonate_Les_Quatre_Ages_Opus_33_3rd_Movement.mxl	1.0	5673.0		0.25683990545865704	1.0	22.0	1847.0
Alkan	Charles Valentin	Grande Sonate “Les Quatre Âges”	Op.	33		4.0			1847.0	5.0		1.0	ClassicMan					MS	Grande_Sonate_Les_Quatre_Ages_Opus_33_4th_Movement.mxl	1.0	2171.0		0.4050500304624049	1.0	24.0	1847.0
Alkan	Charles Valentin		Op.	34			Scherzo Focoso		1847.0	24.0		1.0	ClassicMan					MS	Scherzo_Focoso_Opus_34_in_B_Minor.mxl	1.0	9307.0		0.34134958799321985	1.0	25.0	1847.0
Alkan	Charles Valentin	Etudes	Op.	35	1				1847.0	4.0		1.0	ClassicMan					MS	Etude_Opus_35_No._1_in_A_Major.mxl	1.0	1259.0		0.1140475056433882	1.0	14.0	1847.0
Alkan	Charles Valentin	Etudes	Op.	35	2				1847.0	6.0		1.0	ClassicMan					MS	Etude_Opus_35_No._2_in_D_Major.mxl	1.0	3594.0		0.448618794153459	1.0	20.0	1847.0
Alkan	Charles Valentin	Etudes	Op.	35	3				1847.0	10.0		1.0	ClassicMan					MS	Etude_Opus_35_No._3_in_G_Major.mxl	1.0	4771.0		0.3930684760741205	1.0	21.0	1847.0
Alkan	Charles Valentin	Etudes	Op.	35	4				1847.0			0.0									0.0			1.0		1847.0
Alkan	Charles Valentin	Etudes	Op.	35	5				1847.0	6.0		1.0	ClassicMan					MS	Etude_Opus_35_No._5_in_F_Major.mxl	1.0	3914.0		0.0	1.0	6.0	1847.0
Alkan	Charles Valentin	Etudes	Op.	35	6				1847.0			0.0									0.0			1.0		1847.0
Alkan	Charles Valentin	Etudes	Op.	35	7		L'Incendie au village voisin		1847.0	18.0		1.0	ClassicMan					MS	Etude_Opus_35_No._7_in_E_Major_LIncendie_au_Village_voisin.mxl	1.0	7905.0		0.2758393431355317	1.0	21.0	1847.0
Alkan	Charles Valentin	Etudes	Op.	35	8				1847.0			0.0									0.0			1.0		1847.0
Alkan	Charles Valentin	Etudes	Op.	35	9		Contrapunctus		1847.0	7.0		1.0	ClassicMan					MS	Etude_Opus_35_No._9_in_C_Major_Contrapunctus.mxl	1.0	3633.0		0.6125916352029439	1.0	26.0	1847.0
Alkan	Charles Valentin	Etudes	Op.	35	10		Chant d'Amour - chant de Mort		1847.0	11.0		1.0	ClassicMan					MS	Etude_Opus_35_No._10_in_G_Major_Chant_dAmour_-_Chant_de_Mort.mxl	1.0	4952.0		0.53979886517928	1.0	23.0	1847.0
Alkan	Charles Valentin	Etudes	Op.	35	11				1847.0	9.0		1.0	ClassicMan					MS	Etude_Opus_35_No._11_in_B_Major.mxl	1.0	7265.0		0.3605456136465624	1.0	23.0	1847.0
Alkan	Charles Valentin	Etudes	Op.	35	12		Technique des Octaves		1847.0	12.0		1.0	ClassicMan					MS	Etude_Opus_35_No._12_in_E_Major_Technique_des_Octaves.mxl	1.0	6701.0		0.5207521718966411	1.0	25.0	1847.0
Alkan	Charles Valentin	Marches	Op.	37	1		Quasi da Cavalleria		1857.0	9.0		1.0	ClassicMan					MS	March_Opus_37_No._1_in_A_Minor_Quasi_da_Cavalleria.mxl	1.0	4081.0		0.2870656965219704	1.0	20.0	1857.0
Alkan	Charles Valentin	Marches	Op.	37	2		Quasi da Cavalleria		1857.0	7.0		1.0	ClassicMan					MS	March_Opus_37_No._2_in_A_Minor_Quasi_da_Cavalleria.mxl	1.0	3605.0		0.19229596903850674	1.0	17.0	1857.0
Alkan	Charles Valentin	Marches	Op.	37	3		Quasi da Cavalleria		1857.0	7.0		1.0	ClassicMan					MS	March_Opus_37_No._3_in_C_Minor_Quasi_da_Cavalleria.mxl	1.0	3488.0		0.16082547224275245	1.0	19.0	1857.0
Alkan	Charles Valentin	Douze Études dans les tons Mineurs	Op.	39	1		Comme le vent	1857.0				1.0	ClassicMan					MS	Etude_Opus_39_No._1_in_A_Minor_Comme_le_vent.mxl	1.0	7220.0		0.3128628857754435	1.0	21.0	1857.0
Alkan	Charles Valentin	Douze Études dans les tons Mineurs	Op.	39	2		En rhythme mollosique	1857.0				1.0	ClassicMan					MS	Etude_Opus_39_No._2_in_D_Minor_En_Rhythme_Molossique.mxl	1.0	8411.0		0.3666209568044431	1.0	21.0	1857.0
Alkan	Charles Valentin	Douze Études dans les tons Mineurs	Op.	39	3		Scherzo Diabolico	1857.0				1.0	ClassicMan					MS	Etude_Opus_39_No._3_in_G_Minor_Scherzo_Diabolico.mxl	1.0	5132.0		0.24488502138704601	1.0	18.0	1857.0
Alkan	Charles Valentin	Douze Études dans les tons Mineurs	Op.	39	4		Symphony for Solo Piano mov. 1	1857.0				1.0	ClassicMan					MS	Symphony_for_Solo_Piano_1st_Movement_Opus_39_No._4_in_C_Minor.mxl	1.0	9452.0		0.3187322365338979	1.0	23.0	1857.0
Alkan	Charles Valentin	Douze Études dans les tons Mineurs	Op.	39	5		Symphony for Solo Piano mov. 2	1857.0				1.0	ClassicMan					MS	Symphony_for_Solo_Piano_2nd_Movement_Opus_39_No._5_in_F_Minor_Marche_Funebre.mxl	1.0	3060.0		0.1651098660594733	1.0	17.0	1857.0
Alkan	Charles Valentin	Douze Études dans les tons Mineurs	Op.	39	6		Symphony for Solo Piano mov. 3	1857.0				1.0	ClassicMan					MS	Symphony_for_Solo_Piano_3rd_Movement_Opus_39_No._6_in_B_Minor.mxl	1.0	3841.0		0.13455079668198458	1.0	16.0	1857.0
Alkan	Charles Valentin	Douze Études dans les tons Mineurs	Op.	39	7		Symphony for Solo Piano mov. 4	1857.0				1.0	ClassicMan					MS	Symphony_for_Solo_Piano_4th_Movement_Opus_39_No._7_in_E_Minor.mxl	1.0	5731.0		0.7004798310400999	1.0	30.0	1857.0
Alkan	Charles Valentin	Douze Études dans les tons Mineurs	Op.	39	8		Concerto for Solo Piano mov. 1	1857.0				1.0	ClassicMan					MS	Concerto_for_Solo_Piano_1st_Movement_Opus_39_No._8_in_G_Minor.mxl	1.0	29797.0		0.6664513691026462	1.0	28.0	1857.0
Alkan	Charles Valentin	Douze Études dans les tons Mineurs	Op.	39	9		Concerto for Solo Piano mov. 2	1857.0				1.0	ClassicMan					MS	Concerto_for_Solo_Piano_2nd_Movement_Opus_39_No._9_in_C_Minor.mxl	1.0	6417.0		0.6950130852405042	1.0	26.0	1857.0
Alkan	Charles Valentin	Douze Études dans les tons Mineurs	Op.	39	10		Concerto for Solo Piano mov. 3	1857.0				1.0	ClassicMan					MS	Concerto_for_Solo_Piano_3rd_Movement_Opus_39_No._10_in_F_Minor.mxl	1.0	11158.0		0.4003222323323605	1.0	27.0	1857.0
Alkan	Charles Valentin	Douze Études dans les tons Mineurs	Op.	39	11		Ouverture in B minor	1857.0				1.0	ClassicMan					MS	Ouverture_Opus_39_No._11_in_B_Minor.mxl	1.0	15712.0		0.4784261494797056	1.0	26.0	1857.0
Alkan	Charles Valentin	Douze Études dans les tons Mineurs	Op.	39	12		Le Festin d'Ésope	1857.0				1.0	ClassicMan					MS	Etude_Opus_39_No._12_in_E_Minor_Le_Festin_dEsope.mxl	1.0	10685.0		0.3029790086631069	1.0	21.0	1857.0
Alkan	Charles Valentin		Op.	46			Menuetto alla Tedesca	1856.0		10.0		1.0	ClassicMan					MS	Minuetto_alla_Tedesca_Opus_46_in_A_Minor.mxl	1.0	5275.0		0.1983295649966316	1.0	22.0	1856.0
Alkan	Charles Valentin	Une petite Pièce pour Piano	Op.	60	2		Ma Chère Servitude	1859.0		6.0		1.0	ClassicMan					MS	Une_petite_Piece_pour_Piano_Opus_60_No._2_Ma_Chere_Servitude.mxl	1.0	2907.0		0.2595675302839865	1.0	23.0	1859.0
Alkan	Charles Valentin	Esquisses	Op.	63	1			1861.0				1.0	ClassicMan					MS	916821-Esquisse_Opus_63_No._1_in_C_Major.mxl	1.0	497.0		0.18565293597818625	1.0	14.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	2			1861.0				1.0	ClassicMan					MS	954306-Esquisse_Opus_63_No._2_in_F_Minor.mxl	1.0	1217.0		0.2043994748643039	1.0	15.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	3			1861.0				1.0	ClassicMan					MS	1017016-Esquisse_Opus_63_No._3_in_D_Major.mxl	1.0	536.0		0.5000516042198929	1.0	21.0	1861.0
Alkan	Charles Valentin	Esquisses	Op.	63	4			1861.0				1.0	ClassicMan					MS	1049651-Esquisse_Opus_63_No._4_in_G_Minor.mxl	1.0	253.0		0.0	1.0	10.0	1861.0
